# eV, DoS
0.000000000000000000e+00 0.000000000000000000e+00
2.998035566384717686e-04 0.000000000000000000e+00
5.996071132769435373e-04 0.000000000000000000e+00
8.994106699154151433e-04 0.000000000000000000e+00
1.199214226553887075e-03 0.000000000000000000e+00
1.499017783192358681e-03 0.000000000000000000e+00
1.798821339830830287e-03 0.000000000000000000e+00
2.098624896469302326e-03 0.000000000000000000e+00
2.398428453107774149e-03 0.000000000000000000e+00
2.698232009746245538e-03 0.000000000000000000e+00
2.998035566384717361e-03 0.000000000000000000e+00
3.297839123023189184e-03 0.000000000000000000e+00
3.597642679661660573e-03 0.000000000000000000e+00
3.897446236300132830e-03 0.000000000000000000e+00
4.197249792938604653e-03 0.000000000000000000e+00
4.497053349577075608e-03 0.000000000000000000e+00
4.796856906215548298e-03 0.000000000000000000e+00
5.096660462854020121e-03 0.000000000000000000e+00
5.396464019492491077e-03 0.000000000000000000e+00
5.696267576130962899e-03 0.000000000000000000e+00
5.996071132769434722e-03 0.000000000000000000e+00
6.295874689407906545e-03 0.000000000000000000e+00
6.595678246046378368e-03 0.000000000000000000e+00
6.895481802684850191e-03 0.000000000000000000e+00
7.195285359323321146e-03 0.000000000000000000e+00
7.495088915961793836e-03 0.000000000000000000e+00
7.794892472600265659e-03 0.000000000000000000e+00
8.094696029238736615e-03 0.000000000000000000e+00
8.394499585877209305e-03 0.000000000000000000e+00
8.694303142515680261e-03 0.000000000000000000e+00
8.994106699154151216e-03 0.000000000000000000e+00
9.293910255792623906e-03 0.000000000000000000e+00
9.593713812431096596e-03 0.000000000000000000e+00
9.893517369069567552e-03 0.000000000000000000e+00
1.019332092570804024e-02 0.000000000000000000e+00
1.049312448234651120e-02 0.000000000000000000e+00
1.079292803898498215e-02 0.000000000000000000e+00
1.109273159562345484e-02 0.000000000000000000e+00
1.139253515226192580e-02 1.007226656812789889e+00
1.169233870890039675e-02 1.049899516978656466e+00
1.199214226553886944e-02 1.092572377144523488e+00
1.229194582217734213e-02 1.135245237310390065e+00
1.259174937881581309e-02 1.177918097476256865e+00
1.289155293545428578e-02 1.220590957642123664e+00
1.319135649209275674e-02 1.263263817807990241e+00
1.349116004873122769e-02 1.368600347669365336e+00
1.379096360536970038e-02 1.494807344480677536e+00
1.409076716200817134e-02 1.621014341291989069e+00
1.439057071864664229e-02 1.747221338103300603e+00
1.469037427528511672e-02 1.873428334914612803e+00
1.499017783192358767e-02 1.999635331725925003e+00
1.528998138856206036e-02 2.143478291222939536e+00
1.558978494520053132e-02 2.384703385053125846e+00
1.588958850183900054e-02 2.625928478883311712e+00
